옥보단,http://edge993.co.kr/wp-content/uploads/2018/01/bm0002.jpg
올드 패션드,https://s3.us-east-2.amazonaws.com/chrissy-tuxedo-no2/1500x861recipe-old-fashioned-cocktail-recipe.jpg
잭콕,http://www.haveacocktail.com/images/da/4197.jpg
준 벅,http://www.discovermidori.com/media/1075/mid_june_bug.png
진 토닉,https://banner2.kisspng.com/20180213/fdq/kisspng-vodka-tonic-cocktail-gin-and-tonic-screwdriver-transparent-mint-lemon-coke-5a828af40ceab3.3125557515185046920529.jpg
진 피즈,https://s7d9.scene7.com/is/image/SAQ/gin-fizz-ec?$saq-fiche-cocktail$
카미카제,https://banner2.kisspng.com/20180706/ytu/kisspng-cocktail-garnish-kamikaze-gimlet-margarita-daiquir-5b3f5197307db1.9042942715308763111986.jpg
카타르시스,https://pbs.twimg.com/media/DrFx7o6U4AARVXm.jpg
코스모폴리탄,https://banner2.kisspng.com/20180302/ddw/kisspng-cocktail-martini-cosmopolitan-pink-lady-woo-woo-red-drink-5a9a1906cf27c5.1739442515200483908485.jpg
쿠바 리브레,https://icon2.kisspng.com/20180220/wvq/kisspng-rum-and-coke-cocktail-daiquiri-mojito-vodka-drink-5a8c1f229294e6.8763780215191324506004.jpg
키르,https://banner2.kisspng.com/20180716/qwv/kisspng-wine-cocktail-kir-royale-bellini-mojito-poster-5b4ca2c2310f97.369798401531749058201.jpg
키스 오브 파이어,http://coolx.net/board/upload/gallery/KissOfFire.jpg
톰 콜린스,https://banner2.kisspng.com/20180518/og/kisspng-bay-breeze-tom-collins-cocktail-garnish-old-tom-gi-5afeee9583bfc1.1866841215266566615397.jpg
파우스트,https://mblogthumb-phinf.pstatic.net/20150822_203/jsh1142_14402335522904I9xF_JPEG/NaverBlog_20150822_175231_11.jpg?type=w2
피나 콜라다,https://www.maliburumdrinks.com/globalassets/images/cocktail-recipe-images/pina-colada-uk.png/CocktailHero
피치 크러쉬,https://polarice.ca/wp-content/uploads/2015/06/polar-ice-vodka-recipes-crush-vodka-mobile.png
핑크 레이디,https://banner2.kisspng.com/20180408/foe/kisspng-clover-club-cocktail-cosmopolitan-martini-pink-lad-raspberries-5aca974f5b9fa1.3628101615232264473753.jpg
핑크 진,https://banner2.kisspng.com/20180419/ere/kisspng-pink-gin-cocktail-gin-and-tonic-tonic-water-cocktail-night-5ad900f2353622.192490541524170994218.jpg
하비 월뱅어,https://banner2.kisspng.com/20180610/elw/kisspng-harvey-wallbanger-cocktail-garnish-fuzzy-navel-mai-daiquiris-company-5b1d5645594049.5294451515286492853656.jpg